chicken 144 3 28 0
beef 173 8 15 6
steak 233 13 26 0
rice 130 0 2 28
brocoli 35 0 2 7
burger 300 13 15 32
fries 314 16 4 38
hot dog 269 16 9 25
cookie 481 22 5 66
pizza 276 11 12 31
fried_chicken 260 13 25 9
cheese 403 33 25 1
bread 265 3 9 49
potato 77 0 2 18
ice cream 207 11 4 24
donut 426 23 5 50
corn 96 2 3 21
mac_and_cheese 357 3 14 69
egg 155 11 13 1
bacon 540 42 37 1 
pasta 158 1 6 31
pancake 227 10 6 28
bagel 275 2 11 53
potato_chip 546 38 7 50
burrito 490 18 18 63
marinara_sauce 49 2 1 8
salad 16 0 1 3 
mash_potato 113 4 2 17
sushi 515 19 12 76
nacho 220 13 8 19
chicken_nugget 225 10 24 10
apple 52 0 0 13 
orange 47 0 1 12
calorie fat protein carb
